SES.Quintile,Sex,Month,Age,Deaths.2015,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019
4,1,12,4-Jan,23,40.0076859,30.00170251,29.00098948,37.00219118
5,1,12,4-Jan,23.00250016,26.00343479,18.00249997,20.00389292,16.00372096
All,1,12,4-Jan,172.0101213,176.0166885,189.0144123,161.0100856,191.0102074
1,2,12,4-Jan,37.00188692,43.00278448,39.00119016,38,42
2,2,12,4-Jan,31.00357356,38,41.00274181,21,38.00157978
3,2,12,4-Jan,34.00105914,34,23.00097825,22,21.00088424
4,2,12,4-Jan,26,22.00202617,28,23.00139392,20
5,2,12,4-Jan,14.00055928,22,18,NA,21.00204663
All,2,12,4-Jan,142.0086613,159.0064826,149.0046743,112.002764,142.0045447
1,1,1,14-May,64,64.00403518,70.0101446,63,82
2,1,1,14-May,68.00369576,50.00200726,62.00263965,54.00665018,60
3,1,1,14-May,50.00233718,67,46.00160385,70,57.00180845
4,1,1,14-May,44.00806821,37,45.00222361,44.00755228,45.0024
5,1,1,14-May,37.0034185,44,34.00117936,41,28.00416882
All,1,1,14-May,263.0180138,262.0063107,257.0174552,272.0150869,272.0103267
1,2,1,14-May,47.00164922,57,58,59,59.00134073
2,2,1,14-May,44,47,47,65.00197628,41
3,2,1,14-May,41.00188501,39,28,47,43.00341504
4,2,1,14-May,37.0031104,36,32,22,28
5,2,1,14-May,28.00138229,32,27,37,28.00186863
All,2,1,14-May,197.0073539,211,192,230.001614,199.0063203
1,1,2,14-May,70.00681793,64.00440286,80,60,65
2,1,2,14-May,48.00238136,64.00476034,54,52.00317662,49
3,1,2,14-May,58.00316239,42.00149142,45.0020585,52.00198476,49
4,1,2,14-May,43.00683077,37.00372908,43.00242229,45.00269838,38.00583347
5,1,2,14-May,38.0019946,36,39,36,31.00727781
All,1,2,14-May,257.0204348,243.0145986,261.0044193,245.0081651,232.0154966
1,2,2,14-May,43.00126591,63,46.00144547,51,54
2,2,2,14-May,44,53,39,41,51
3,2,2,14-May,42.00201444,40,39,45.0018717,32
4,2,2,14-May,32.0015949,33,22.00215906,36.00138217,32
5,2,2,14-May,26,39,22,33,35
All,2,2,14-May,187.0049277,228,168.0043562,206.0035223,204
1,1,3,14-May,82.00678443,66,69.00421992,57,72.00333238
2,1,3,14-May,54,56.00388199,54.0055763,71.00696786,62.00252708
3,1,3,14-May,48.00159987,60.00182453,80.00297596,57.00171113,53.00258991
4,1,3,14-May,56.00607248,48.00580495,48.00443934,40.00497192,51.00517857
5,1,3,14-May,39,35.00530263,51.01021941,43.01052641,36.00312529
All,1,3,14-May,279.0137621,265.0171169,302.0284993,268.0252872,274.0167503
1,2,3,14-May,64,39.00102054,65,50.00170733,50.00403086
2,2,3,14-May,43.00391677,40,48.00366613,44.00346679,30
3,2,3,14-May,32,35.00176056,37,36,42
4,2,3,14-May,34.00320321,48,37.00102929,48.00227596,30
5,2,3,14-May,25.0031186,31,24,32,33.00175975
All,2,3,14-May,198.0098132,193.0032055,211.0050821,210.0069073,185.0044738
1,1,4,14-May,75.00229659,60.00321978,77,62,81.00249949
2,1,4,14-May,49,51.00196818,58.00690652,66.00576046,45.00154476
3,1,4,14-May,49,51.00433378,55.00454214,54.00532473,46
4,1,4,14-May,40.0041412,51.0051607,47,30.00127664,38.00762463
